xpos coord,y pos coord
358329.335,145768.097
358329.345,145768.097
358329.355,145768.097
358329.365,145768.097
358329.375,145768.097
358329.385,145768.097
358329.395,145768.097
358329.405,145768.097
358329.415,145768.097
358329.425,145768.097
358329.435,145768.097
358329.445,145768.097
358329.455,145768.097
358329.465,145768.097
358329.475,145768.097
358329.485,145768.097
358329.495,145768.097
358329.505,145768.097
358329.515,145768.097
358329.525,145768.097
358329.535,145768.097
358329.545,145768.097
358329.555,145768.097
358329.565,145768.097
358329.575,145768.097
358329.585,145768.097
358329.335,145768.087
358329.345,145768.087
358329.355,145768.087
358329.365,145768.087
358329.375,145768.087
358329.385,145768.087
358329.395,145768.087
358329.405,145768.087
358329.415,145768.087
358329.425,145768.087
358329.435,145768.087
358329.445,145768.087
358329.455,145768.087
358329.465,145768.087
358329.475,145768.087
358329.485,145768.087
358329.495,145768.087
358329.505,145768.087
358329.515,145768.087
358329.525,145768.087
358329.535,145768.087
358329.545,145768.087
358329.555,145768.087
358329.565,145768.087
358329.575,145768.087
358329.585,145768.087
358329.335,145768.077
358329.345,145768.077
358329.355,145768.077
358329.365,145768.077
358329.375,145768.077
358329.385,145768.077
358329.395,145768.077
358329.405,145768.077
358329.415,145768.077
358329.425,145768.077
358329.435,145768.077
358329.445,145768.077
358329.455,145768.077
358329.465,145768.077
358329.475,145768.077
358329.485,145768.077
358329.495,145768.077
358329.505,145768.077
358329.515,145768.077
358329.525,145768.077
358329.535,145768.077
358329.545,145768.077
358329.555,145768.077
358329.565,145768.077
358329.575,145768.077
358329.585,145768.077
358329.335,145768.067
358329.345,145768.067
358329.355,145768.067
358329.365,145768.067
358329.375,145768.067
358329.385,145768.067
358329.395,145768.067
358329.405,145768.067
358329.415,145768.067
358329.425,145768.067
358329.435,145768.067
358329.445,145768.067
358329.455,145768.067
358329.465,145768.067
358329.475,145768.067
358329.485,145768.067
358329.495,145768.067
358329.505,145768.067
358329.515,145768.067
358329.525,145768.067
358329.535,145768.067
358329.545,145768.067
358329.555,145768.067
358329.565,145768.067
358329.575,145768.067
358329.585,145768.067
358329.335,145768.057
358329.345,145768.057
358329.355,145768.057
358329.365,145768.057
358329.375,145768.057
358329.385,145768.057
358329.395,145768.057
358329.405,145768.057
358329.415,145768.057
358329.425,145768.057
358329.435,145768.057
358329.445,145768.057
358329.455,145768.057
358329.465,145768.057
358329.475,145768.057
358329.485,145768.057
358329.495,145768.057
358329.505,145768.057
358329.515,145768.057
358329.525,145768.057
358329.535,145768.057
358329.545,145768.057
358329.555,145768.057
358329.565,145768.057
358329.575,145768.057
358329.585,145768.057
358329.335,145768.047
358329.345,145768.047
358329.355,145768.047
358329.365,145768.047
358329.375,145768.047
358329.385,145768.047
358329.395,145768.047
358329.405,145768.047
358329.415,145768.047
358329.425,145768.047
358329.435,145768.047
358329.445,145768.047
358329.455,145768.047
358329.465,145768.047
358329.475,145768.047
358329.485,145768.047
358329.495,145768.047
358329.505,145768.047
358329.515,145768.047
358329.525,145768.047
358329.535,145768.047
358329.545,145768.047
358329.555,145768.047
358329.565,145768.047
358329.575,145768.047
358329.585,145768.047
358329.335,145768.037
358329.345,145768.037
358329.355,145768.037
358329.365,145768.037
358329.375,145768.037
358329.385,145768.037
358329.395,145768.037
358329.405,145768.037
358329.415,145768.037
358329.425,145768.037
358329.435,145768.037
358329.445,145768.037
358329.455,145768.037
358329.465,145768.037
358329.475,145768.037
358329.485,145768.037
358329.495,145768.037
358329.505,145768.037
358329.515,145768.037
358329.525,145768.037
358329.535,145768.037
358329.545,145768.037
358329.555,145768.037
358329.565,145768.037
358329.575,145768.037
358329.585,145768.037
358329.335,145768.027
358329.345,145768.027
358329.355,145768.027
358329.365,145768.027
358329.375,145768.027
358329.385,145768.027
358329.395,145768.027
358329.405,145768.027
358329.415,145768.027
358329.425,145768.027
358329.435,145768.027
358329.445,145768.027
358329.455,145768.027
358329.465,145768.027
358329.475,145768.027
358329.485,145768.027
358329.495,145768.027
358329.505,145768.027
358329.515,145768.027
358329.525,145768.027
358329.535,145768.027
358329.545,145768.027
358329.555,145768.027
358329.565,145768.027
358329.575,145768.027
358329.585,145768.027
358329.335,145768.017
358329.345,145768.017
358329.355,145768.017
358329.365,145768.017
358329.375,145768.017
358329.385,145768.017
358329.395,145768.017
358329.405,145768.017
358329.415,145768.017
358329.425,145768.017
358329.435,145768.017
358329.445,145768.017
358329.455,145768.017
358329.465,145768.017
358329.475,145768.017
358329.485,145768.017
358329.495,145768.017
358329.505,145768.017
358329.515,145768.017
358329.525,145768.017
358329.535,145768.017
358329.545,145768.017
358329.555,145768.017
358329.565,145768.017
358329.575,145768.017
358329.585,145768.017
358329.335,145768.007
358329.345,145768.007
358329.355,145768.007
358329.365,145768.007
358329.375,145768.007
358329.385,145768.007
358329.395,145768.007
358329.405,145768.007
358329.415,145768.007
358329.425,145768.007
358329.435,145768.007
358329.445,145768.007
358329.455,145768.007
358329.465,145768.007
358329.475,145768.007
358329.485,145768.007
358329.495,145768.007
358329.505,145768.007
358329.515,145768.007
358329.525,145768.007
358329.535,145768.007
358329.545,145768.007
358329.555,145768.007
358329.565,145768.007
358329.575,145768.007
358329.585,145768.007
358329.335,145767.997
358329.345,145767.997
358329.355,145767.997
358329.365,145767.997
358329.375,145767.997
358329.385,145767.997
358329.395,145767.997
358329.405,145767.997
358329.415,145767.997
358329.425,145767.997
358329.435,145767.997
358329.445,145767.997
358329.455,145767.997
358329.465,145767.997
358329.475,145767.997
358329.485,145767.997
358329.495,145767.997
358329.505,145767.997
358329.515,145767.997
358329.525,145767.997
358329.535,145767.997
358329.545,145767.997
358329.555,145767.997
358329.565,145767.997
358329.575,145767.997
358329.585,145767.997
358329.335,145767.987
358329.345,145767.987
358329.355,145767.987
358329.365,145767.987
358329.375,145767.987
358329.385,145767.987
358329.395,145767.987
358329.405,145767.987
358329.415,145767.987
358329.425,145767.987
358329.435,145767.987
358329.445,145767.987
358329.455,145767.987
358329.465,145767.987
358329.475,145767.987
358329.485,145767.987
358329.495,145767.987
358329.505,145767.987
358329.515,145767.987
358329.525,145767.987
358329.535,145767.987
358329.545,145767.987
358329.555,145767.987
358329.565,145767.987
358329.575,145767.987
358329.585,145767.987
358329.335,145767.977
358329.345,145767.977
358329.355,145767.977
358329.365,145767.977
358329.375,145767.977
358329.385,145767.977
358329.395,145767.977
358329.405,145767.977
358329.415,145767.977
358329.425,145767.977
358329.435,145767.977
358329.445,145767.977
358329.455,145767.977
358329.465,145767.977
358329.475,145767.977
358329.485,145767.977
358329.495,145767.977
358329.505,145767.977
358329.515,145767.977
358329.525,145767.977
358329.535,145767.977
358329.545,145767.977
358329.555,145767.977
358329.565,145767.977
358329.575,145767.977
358329.585,145767.977
358329.335,145767.967
358329.345,145767.967
358329.355,145767.967
358329.365,145767.967
358329.375,145767.967
358329.385,145767.967
358329.395,145767.967
358329.405,145767.967
358329.415,145767.967
358329.425,145767.967
358329.435,145767.967
358329.445,145767.967
358329.455,145767.967
358329.465,145767.967
358329.475,145767.967
358329.485,145767.967
358329.495,145767.967
358329.505,145767.967
358329.515,145767.967
358329.525,145767.967
358329.535,145767.967
358329.545,145767.967
358329.555,145767.967
358329.565,145767.967
358329.575,145767.967
358329.585,145767.967
358329.335,145767.957
358329.345,145767.957
358329.355,145767.957
358329.365,145767.957
358329.375,145767.957
358329.385,145767.957
358329.395,145767.957
358329.405,145767.957
358329.415,145767.957
358329.425,145767.957
358329.435,145767.957
358329.445,145767.957
358329.455,145767.957
358329.465,145767.957
358329.475,145767.957
358329.485,145767.957
358329.495,145767.957
358329.505,145767.957
358329.515,145767.957
358329.525,145767.957
358329.535,145767.957
358329.545,145767.957
358329.555,145767.957
358329.565,145767.957
358329.575,145767.957
358329.585,145767.957
358329.335,145767.947
358329.345,145767.947
358329.355,145767.947
358329.365,145767.947
358329.375,145767.947
358329.385,145767.947
358329.395,145767.947
358329.405,145767.947
358329.415,145767.947
358329.425,145767.947
358329.435,145767.947
358329.445,145767.947
358329.455,145767.947
358329.465,145767.947
358329.475,145767.947
358329.485,145767.947
358329.495,145767.947
358329.505,145767.947
358329.515,145767.947
358329.525,145767.947
358329.535,145767.947
358329.545,145767.947
358329.555,145767.947
358329.565,145767.947
358329.575,145767.947
358329.585,145767.947
